,REST,D4,G4,E4,C4,D#4,F#4,F4,A4,B4,C#4,C5,D5,E5,G5,D#5,G#4,C#5,F5,F#5,A5,A#4,B5,C6
D4,0.06520198440822111,0.27,0.02610966057441253,0.2685402029664325,0.19595835884874463,0.0,0.08695652173913043,0.10499683744465528,0.021848739495798318,0.0031545741324921135,0.5806451612903226,0.006009615384615385,0.002849002849002849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4,0.059532246633593196,0.16785714285714284,0.08877284595300261,0.2568306010928962,0.08266993263931414,0.896551724137931,0.11594202898550725,0.14484503478810878,0.023529411764705882,0.025236593059936908,0.1935483870967742,0.021634615384615384,0.014245014245014245,0.012269938650306749,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REST,0.3550673281360737,0.06928571428571428,0.09190600522193211,0.05776736924277908,0.13717085119412126,0.06896551724137931,0.057971014492753624,0.0961416824794434,0.05042016806722689,0.06309148264984227,0.03225806451612903,0.09134615384615384,0.06552706552706553,0.018404907975460124,0.05421686746987952,0.0,0.21739130434782608,0.0,0.10843373493975904,0.0,0.0,0.3333333333333333,0.0,0.0
C4,0.13040396881644223,0.31357142857142856,0.038642297650130546,0.07650273224043716,0.40967544396815675,0.0,0.0,0.08032890575585072,0.030252100840336135,0.00946372239747634,0.03225806451612903,0.016826923076923076,0.011396011396011397,0.012269938650306749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G4,0.14174344436569808,0.04285714285714286,0.37911227154046995,0.11787665886026542,0.04837721984078383,0.0,0.2246376811594203,0.20430107526881722,0.3764705882352941,0.0946372239747634,0.0,0.07932692307692307,0.039886039886039885,0.012269938650306749,0.012048192771084338,0.0,0.17391304347826086,0.0,0.03614457831325301,0.0,0.0,0.0,0.0,0.0
F4,0.10205527994330262,0.09714285714285714,0.20261096605744125,0.1522248243559719,0.08328230251071647,0.0,0.13043478260869565,0.30676786843769766,0.0907563025210084,0.022082018927444796,0.0,0.016826923076923076,0.011396011396011397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,0.06803685329553508,0.0064285714285714285,0.0433420365535248,0.00702576112412178,0.02020820575627679,0.034482758620689655,0.007246376811594203,0.01644528779253637,0.08235294117647059,0.14511041009463724,0.0,0.35096153846153844,0.42165242165242167,0.11042944785276074,0.05421686746987952,0.0,0.0,0.0,0.10843373493975904,0.0,0.0,0.0,0.0,0.2727272727272727
B4,0.013465627214741318,0.0035714285714285713,0.014099216710182768,0.00546448087431694,0.001224739742804654,0.0,0.014492753623188406,0.0,0.06386554621848739,0.25236593059936907,0.0,0.13221153846153846,0.06837606837606838,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
A4,0.024096385542168676,0.007857142857142858,0.07415143603133159,0.02654176424668228,0.009797917942437232,0.0,0.10869565217391304,0.033523086654016446,0.20168067226890757,0.2870662460567823,0.03225806451612903,0.07692307692307693,0.014245014245014245,0.0,0.0,0.0,0.34782608695652173,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0
G5,0.012756909992912827,0.0,0.0010443864229765013,0.00078064012490242,0.003674219228413962,0.0,0.0,0.0,0.0,0.0,0.0,0.014423076923076924,0.022792022792022793,0.07975460122699386,0.39759036144578314,0.0,0.0,0.0,0.14457831325301204,0.14285714285714285,0.75,0.0,0.0,0.2727272727272727
A5,0.0007087172218284905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006009615384615385,0.0,0.012269938650306749,0.05421686746987952,0.0,0.0,0.0,0.012048192771084338,0.14285714285714285,0.125,0.0,1.0,0.45454545454545453
D5,0.01559177888022679,0.0014285714285714286,0.006266318537859008,0.0,0.0,0.0,0.0,0.003795066413662239,0.015126050420168067,0.050473186119873815,0.0,0.12259615384615384,0.1908831908831909,0.48466257668711654,0.0963855421686747,0.0,0.0,1.0,0.1686746987951807,0.0,0.0,0.0,0.0,0.0
F#4,0.003543586109142452,0.0064285714285714285,0.021409921671018278,0.0078064012490242,0.002449479485609308,0.0,0.2391304347826087,0.006957621758380772,0.021848739495798318,0.00946372239747634,0.0967741935483871,0.002403846153846154,0.002849002849002849,0.006134969325153374,0.0,0.0,0.043478260869565216,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
F5,0.002834868887313962,0.0,0.0010443864229765013,0.0,0.0,0.0,0.0,0.0006325110689437065,0.0,0.0,0.0,0.009615384615384616,0.045584045584045586,0.049079754601226995,0.1566265060240964,0.0,0.0,0.0,0.18072289156626506,0.14285714285714285,0.0625,0.0,0.0,0.0
C6,0.0007087172218284905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.030120481927710843,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0
C#4,0.0007087172218284905,0.007857142857142858,0.0010443864229765013,0.00624512099921936,0.003061849357011635,0.0,0.007246376811594203,0.0006325110689437065,0.0016806722689075631,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E5,0.002834868887313962,0.0,0.005744125326370757,0.00156128024980484,0.001837109614206981,0.0,0.0,0.0,0.0033613445378151263,0.015772870662460567,0.0,0.04447115384615385,0.07692307692307693,0.20245398773006135,0.10240963855421686,1.0,0.0,0.0,0.2289156626506024,0.14285714285714285,0.03125,0.0,0.0,0.0
F#5,0.0007087172218284905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002849002849002849,0.0,0.018072289156626505,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
D#4,0.0,0.005,0.0010443864229765013,0.01249024199843872,0.000612369871402327,0.0,0.0,0.0006325110689437065,0.0033613445378151263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#5,0.0,0.0007142857142857143,0.0,0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.002403846153846154,0.005698005698005698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G#4,0.0,0.0,0.0036553524804177544,0.00234192037470726,0.0,0.0,0.0,0.0,0.013445378151260505,0.012618296529968454,0.0,0.0,0.002849002849002849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A#4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00946372239747634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D#5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001201923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
